,Adj Close,Close,Date,High,Low,Open,Volume,S&P 500 PE Ratio
11431,85.62,85.62,1975-09-05,86.49,85.19,0.0,11680000,10.964666666666666
11432,86.2,86.2,1975-09-04,86.91,85.29,0.0,12810000,10.951
11433,86.03,86.03,1975-09-03,86.38,84.62,0.0,12260000,10.937333333333333
11434,85.48,85.48,1975-09-02,87.42,85.21,0.0,11460000,10.923666666666668
11435,86.88,86.88,1975-08-29,87.73,86.1,0.0,15480000,10.913870967741936
11436,86.4,86.4,1975-08-28,86.64,84.68,0.0,14530000,10.915161290322581
11437,84.43,84.43,1975-08-27,84.79,83.35,0.0,11100000,10.916451612903225
11438,83.96,83.96,1975-08-26,85.4,83.65,0.0,11350000,10.917741935483871
11439,85.06,85.06,1975-08-25,85.58,84.06,0.0,11250000,10.919032258064517
11440,84.28,84.28,1975-08-22,84.61,82.79,0.0,13050000,10.92290322580645
11441,83.07,83.07,1975-08-21,84.15,82.21,0.0,16610000,10.924193548387096
11442,83.22,83.22,1975-08-20,84.78,82.76,0.0,18630000,10.925483870967742
11443,84.95,84.95,1975-08-19,86.47,84.66,0.0,14990000,10.926774193548386
11444,86.2,86.2,1975-08-18,87.21,85.76,0.0,10810000,10.928064516129032
11445,86.36,86.36,1975-08-15,86.76,85.33,0.0,10610000,10.931935483870967
11446,85.6,85.6,1975-08-14,86.34,85.02,0.0,12460000,10.933225806451613
11447,85.97,85.97,1975-08-13,87.41,85.61,0.0,12000000,10.934516129032257
11448,87.12,87.12,1975-08-12,88.17,86.49,0.0,14510000,10.935806451612903
11449,86.55,86.55,1975-08-11,86.89,85.34,0.0,12350000,10.937096774193549
11450,86.02,86.02,1975-08-08,87.0,85.52,0.0,11660000,10.940967741935482
11451,86.3,86.3,1975-08-07,87.24,85.69,0.0,12390000,10.942258064516128
11452,86.25,86.25,1975-08-06,87.04,85.34,0.0,16280000,10.943548387096774
11453,86.23,86.23,1975-08-05,87.81,85.89,0.0,15470000,10.944838709677418
11454,87.15,87.15,1975-08-04,88.17,86.68,0.0,12620000,10.946129032258064
11455,87.99,87.99,1975-08-01,89.04,87.46,0.0,13320000,10.95
11456,88.75,88.75,1975-07-31,90.07,88.31,0.0,14540000,10.97483870967742
11457,88.83,88.83,1975-07-30,89.49,87.68,0.0,16150000,10.999677419354839
11458,88.19,88.19,1975-07-29,89.91,87.71,0.0,19000000,11.024516129032257
11459,88.69,88.69,1975-07-28,89.68,88.02,0.0,14850000,11.049354838709677
11460,89.29,89.29,1975-07-25,90.72,88.72,0.0,15110000,11.123870967741935
11461,90.07,90.07,1975-07-24,90.95,88.9,0.0,20550000,11.148709677419355
11462,90.18,90.18,1975-07-23,92.15,89.83,0.0,20150000,11.173548387096774
11463,91.45,91.45,1975-07-22,92.49,90.63,0.0,20660000,11.198387096774193
11464,92.44,92.44,1975-07-21,93.93,92.03,0.0,16690000,11.223225806451612
11465,93.2,93.2,1975-07-18,93.96,92.39,0.0,16870000,11.29774193548387
11466,93.63,93.63,1975-07-17,95.03,92.99,0.0,21420000,11.32258064516129
11467,94.61,94.61,1975-07-16,96.37,94.2,0.0,25250000,11.34741935483871
11468,95.61,95.61,1975-07-15,96.58,94.71,0.0,28340000,11.37225806451613
11469,95.19,95.19,1975-07-14,95.76,94.04,0.0,21900000,11.397096774193548
11470,94.66,94.66,1975-07-11,95.69,93.83,0.0,22210000,11.471612903225807
11471,94.81,94.81,1975-07-10,96.19,94.25,0.0,28880000,11.496451612903225
11472,94.8,94.8,1975-07-09,95.22,93.38,0.0,26350000,11.521290322580645
11473,93.39,93.39,1975-07-08,94.03,92.51,0.0,18990000,11.546129032258065
11474,93.54,93.54,1975-07-07,94.82,93.16,0.0,15850000,11.570967741935485
11475,94.36,94.36,1975-07-03,95.04,93.49,0.0,19000000,11.670322580645163
11476,94.18,94.18,1975-07-02,94.91,93.37,0.0,18530000,11.69516129032258
11477,94.85,94.85,1975-07-01,95.73,94.13,0.0,20390000,11.72
11478,95.19,95.19,1975-06-30,95.85,94.3,0.0,19430000,11.716333333333335
11479,94.81,94.81,1975-06-27,95.66,94.1,0.0,18820000,11.705333333333334
11480,94.81,94.81,1975-06-26,95.72,93.88,0.0,24560000,11.701666666666668
11481,94.62,94.62,1975-06-25,95.29,93.53,0.0,21610000,11.698
11482,94.19,94.19,1975-06-24,95.23,93.31,0.0,26620000,11.694333333333333
11483,93.62,93.62,1975-06-23,93.98,91.81,0.0,20720000,11.690666666666667
11484,92.61,92.61,1975-06-20,93.75,91.83,0.0,26260000,11.679666666666666
11485,92.02,92.02,1975-06-19,92.37,90.12,0.0,21450000,11.676
11486,90.39,90.39,1975-06-18,91.07,89.6,0.0,15590000,11.672333333333334
11487,90.58,90.58,1975-06-17,92.22,90.17,0.0,19440000,11.668666666666667
11488,91.46,91.46,1975-06-16,91.85,90.12,0.0,16660000,11.665
11489,90.52,90.52,1975-06-13,91.06,89.3,0.0,16300000,11.654
11490,90.08,90.08,1975-06-12,91.36,89.64,0.0,15970000,11.650333333333332
11491,90.55,90.55,1975-06-11,91.67,90.0,0.0,18230000,11.646666666666667
11492,90.44,90.44,1975-06-10,91.21,89.46,0.0,21130000,11.643
11493,91.21,91.21,1975-06-09,92.87,90.91,0.0,20670000,11.639333333333333
11494,92.48,92.48,1975-06-06,93.6,91.75,0.0,22230000,11.628333333333334
11495,92.69,92.69,1975-06-05,93.16,91.41,0.0,21610000,11.624666666666666
11496,92.6,92.6,1975-06-04,93.61,91.82,0.0,24900000,11.620999999999999
11497,92.89,92.89,1975-06-03,93.76,91.88,0.0,26560000,11.617333333333333
11498,92.58,92.58,1975-06-02,93.41,91.32,0.0,28240000,11.613666666666667
11499,91.15,91.15,1975-05-30,91.62,89.87,0.0,22670000,11.576451612903226
11500,89.68,89.68,1975-05-29,90.59,88.83,0.0,18570000,11.559677419354838
11501,89.71,89.71,1975-05-28,91.14,89.07,0.0,21850000,11.542903225806452
11502,90.34,90.34,1975-05-27,91.29,89.6,0.0,17050000,11.526129032258064
11503,90.58,90.58,1975-05-23,91.02,89.3,0.0,17870000,11.459032258064516
11504,89.39,89.39,1975-05-22,90.3,88.35,0.0,17610000,11.442258064516128
11505,89.06,89.06,1975-05-21,90.25,88.47,0.0,17640000,11.425483870967742
11506,90.07,90.07,1975-05-20,91.45,89.58,0.0,18310000,11.408709677419354
11507,90.53,90.53,1975-05-19,91.07,88.98,0.0,17870000,11.391935483870967
11508,90.43,90.43,1975-05-16,91.59,89.74,0.0,16630000,11.341612903225807
11509,91.41,91.41,1975-05-15,93.51,90.94,0.0,27690000,11.324838709677419
11510,92.27,92.27,1975-05-14,93.23,91.17,0.0,29050000,11.308064516129033
11511,91.58,91.58,1975-05-13,92.26,89.99,0.0,24950000,11.291290322580645
11512,90.61,90.61,1975-05-12,91.67,89.91,0.0,22410000,11.274516129032257
11513,90.53,90.53,1975-05-09,91.24,89.33,0.0,28440000,11.224193548387097
11514,89.56,89.56,1975-05-08,90.13,88.23,0.0,22980000,11.20741935483871
11515,89.08,89.08,1975-05-07,89.75,87.6,0.0,22250000,11.190645161290321
11516,88.64,88.64,1975-05-06,90.86,88.15,0.0,25410000,11.173870967741935
11517,90.08,90.08,1975-05-05,90.82,88.26,0.0,22370000,11.157096774193548
11518,89.22,89.22,1975-05-02,89.98,87.91,0.0,25210000,11.106774193548388
11519,88.1,88.1,1975-05-01,89.1,86.94,0.0,20660000,11.09
11520,87.3,87.3,1975-04-30,87.61,85.0,0.0,18060000,11.061
11521,85.64,85.64,1975-04-29,86.79,85.04,0.0,17740000,11.032
11522,86.23,86.23,1975-04-28,87.33,85.54,0.0,17850000,11.003
11523,86.62,86.62,1975-04-25,87.5,85.62,0.0,20260000,10.916
11524,86.04,86.04,1975-04-24,86.92,85.0,0.0,19050000,10.887
11525,86.12,86.12,1975-04-23,87.42,85.65,0.0,20040000,10.858
11526,87.09,87.09,1975-04-22,88.64,86.58,0.0,26120000,10.829
11527,87.23,87.23,1975-04-21,87.99,85.92,0.0,23960000,10.8
11528,86.3,86.3,1975-04-18,87.59,85.53,0.0,26610000,10.713000000000001
11529,87.25,87.25,1975-04-17,88.79,86.43,0.0,32650000,10.684000000000001
11530,86.6,86.6,1975-04-16,87.1,84.93,0.0,22970000,10.655000000000001
11531,86.3,86.3,1975-04-15,87.24,85.03,0.0,29620000,10.626
11532,85.6,85.6,1975-04-14,86.12,83.98,0.0,26800000,10.597
11533,84.18,84.18,1975-04-11,84.68,82.93,0.0,20160000,10.51
11534,83.77,83.77,1975-04-10,84.7,82.68,0.0,24990000,10.481
11535,82.84,82.84,1975-04-09,83.22,80.91,0.0,18120000,10.452
11536,80.99,80.99,1975-04-08,81.65,80.13,0.0,14320000,10.423
11537,80.35,80.35,1975-04-07,81.11,79.66,0.0,13860000,10.394
11538,80.88,80.88,1975-04-04,81.9,80.29,0.0,14170000,10.307
11539,81.51,81.51,1975-04-03,82.84,80.88,0.0,13920000,10.278
11540,82.43,82.43,1975-04-02,83.57,81.8,0.0,15600000,10.249
11541,82.64,82.64,1975-04-01,83.59,81.98,0.0,14480000,10.22
11542,83.36,83.36,1975-03-31,84.62,82.84,0.0,16270000,10.21
11543,83.85,83.85,1975-03-27,84.88,83.04,0.0,18300000,10.17
11544,83.59,83.59,1975-03-26,84.24,82.16,0.0,18580000,10.16
11545,82.06,82.06,1975-03-25,82.67,80.08,0.0,18500000,10.15
11546,81.42,81.42,1975-03-24,82.39,80.6,0.0,17810000,10.14
11547,83.39,83.39,1975-03-21,84.11,82.52,0.0,15940000,10.110000000000001
11548,83.61,83.61,1975-03-20,85.3,83.02,0.0,20960000,10.1
11549,84.34,84.34,1975-03-19,85.17,83.43,0.0,19030000,10.09
11550,85.13,85.13,1975-03-18,87.08,84.75,0.0,29180000,10.08
11551,86.01,86.01,1975-03-17,86.52,84.39,0.0,26780000,10.07
11552,84.76,84.76,1975-03-14,85.43,83.5,0.0,24840000,10.040000000000001
11553,83.74,83.74,1975-03-13,84.26,82.52,0.0,18620000,10.030000000000001
11554,83.59,83.59,1975-03-12,84.73,82.87,0.0,21560000,10.02
11555,84.36,84.36,1975-03-11,85.89,83.8,0.0,31280000,10.01
11556,84.95,84.95,1975-03-10,85.47,83.43,0.0,25890000,10.0
11557,84.3,84.3,1975-03-07,85.14,83.25,0.0,25930000,9.97
11558,83.69,83.69,1975-03-06,84.17,81.94,0.0,21780000,9.96
11559,83.9,83.9,1975-03-05,84.71,82.16,0.0,24120000,9.950000000000001
11560,83.56,83.56,1975-03-04,85.43,82.85,0.0,34140000,9.94
11561,83.03,83.03,1975-03-03,83.46,81.32,0.0,24100000,9.93
11562,81.59,81.59,1975-02-28,82.02,80.07,0.0,17560000,9.888928571428572
11563,80.77,80.77,1975-02-27,81.64,80.06,0.0,16430000,9.867857142857144
11564,80.37,80.37,1975-02-26,80.89,78.91,0.0,18790000,9.846785714285714
11565,79.53,79.53,1975-02-25,81.09,79.05,0.0,20910000,9.825714285714286
11566,81.44,81.44,1975-02-24,82.71,80.87,0.0,19150000,9.804642857142857
11567,82.62,82.62,1975-02-21,83.56,81.72,0.0,24440000,9.741428571428571
11568,82.21,82.21,1975-02-20,82.78,80.82,0.0,22260000,9.720357142857143
11569,81.44,81.44,1975-02-19,81.94,79.83,0.0,21930000,9.699285714285715
11570,80.93,80.93,1975-02-18,82.45,80.16,0.0,23990000,9.678214285714287
11571,81.5,81.5,1975-02-14,82.33,80.13,0.0,23290000,9.593928571428572
11572,81.01,81.01,1975-02-13,82.53,79.98,0.0,35160000,9.572857142857144
11573,79.92,79.92,1975-02-12,80.21,77.94,0.0,19790000,9.551785714285714
11574,78.58,78.58,1975-02-11,79.07,77.38,0.0,16470000,9.530714285714286
