DAY,TOTAL BALANCE,STATUS
197,614188.75,Sold 1 units for price $2237.4 and investment $-20.030023589963545
198,616493.67,Sold 1 units for price $2304.92 and investment $-17.616698834798772
199,618903.06,Sold 1 units for price $2409.39 and investment $-13.882693544928168
200,616504.9600000001,Bought 1 units for price $2398.1
201,613975.7700000001,Bought 1 units for price $2529.19
202,611589.6400000001,Bought 1 units for price $2386.13
203,608878.6200000001,Bought 1 units for price $2711.02
204,606397.9800000001,Bought 1 units for price $2480.64
205,609139.3600000001,Sold 1 units for price $2741.38 and investment $10.510997162022715
206,606257.1300000001,Bought 1 units for price $2882.23
207,603510.5700000001,Bought 1 units for price $2746.56
208,600538.2000000001,Bought 1 units for price $2972.37
209,597514.2600000001,Bought 1 units for price $3023.94
210,594384.1400000001,Bought 1 units for price $3130.12
211,591380.7700000001,Bought 1 units for price $3003.37
212,588290.5400000002,Bought 1 units for price $3090.23
213,585336.3200000002,Bought 1 units for price $2954.22
214,582357.5600000002,Bought 1 units for price $2978.76
215,579241.1700000002,Bought 1 units for price $3116.39
216,576112.9600000002,Bought 1 units for price $3128.21
217,572887.0700000002,Bought 1 units for price $3225.89
218,569549.3200000002,Bought 1 units for price $3337.75
219,566176.0900000002,Bought 1 units for price $3373.23
220,562789.9400000002,Bought 1 units for price $3386.15
221,559419.6500000001,Bought 1 units for price $3370.29
222,556039.4900000001,Bought 1 units for price $3380.16
223,552665.5500000002,Bought 1 units for price $3373.94
224,549286.1000000002,Bought 1 units for price $3379.45
225,545928.3500000002,Bought 1 units for price $3357.75
226,542576.2600000002,Bought 1 units for price $3352.09
227,539248.5500000003,Bought 1 units for price $3327.71
228,535902.7700000003,Bought 1 units for price $3345.78
229,532568.0800000003,Bought 1 units for price $3334.69
230,529270.4900000003,Bought 1 units for price $3297.59
231,526021.5700000003,Bought 1 units for price $3248.92
232,522796.0500000003,Bought 1 units for price $3225.52
233,519512.3900000003,Bought 1 units for price $3283.66
234,516238.9900000003,Bought 1 units for price $3273.4
235,512962.7500000003,Bought 1 units for price $3276.24
236,509719.1200000003,Bought 1 units for price $3243.63
237,506423.6500000003,Bought 1 units for price $3295.47
238,503098.11000000034,Bought 1 units for price $3325.54
239,499776.36000000034,Bought 1 units for price $3321.75
240,496455.57000000036,Bought 1 units for price $3320.79
241,493125.95000000036,Bought 1 units for price $3329.62
242,489809.14000000036,Bought 1 units for price $3316.81
243,486519.8500000004,Bought 1 units for price $3289.29
244,483236.70000000036,Bought 1 units for price $3283.15
245,479948.57000000036,Bought 1 units for price $3288.13
246,476683.2200000004,Bought 1 units for price $3265.35
247,473408.52000000037,Bought 1 units for price $3274.7
248,470155.4700000004,Bought 1 units for price $3253.05
249,466918.2900000004,Bought 1 units for price $3237.18
250,463672.01000000036,Bought 1 units for price $3246.28
251,460437.1600000004,Bought 1 units for price $3234.85
252,457179.3100000004,Bought 1 units for price $3257.85
253,453948.5300000004,Bought 1 units for price $3230.78
254,450727.2400000004,Bought 1 units for price $3221.29
255,447487.2200000004,Bought 1 units for price $3240.02
256,444247.3100000004,Bought 1 units for price $3239.91
257,441023.9300000004,Bought 1 units for price $3223.38
258,437799.9200000004,Bought 1 units for price $3224.01
259,434578.7000000004,Bought 1 units for price $3221.22
260,431373.3300000004,Bought 1 units for price $3205.37
261,428182.1900000004,Bought 1 units for price $3191.14
262,424989.6700000004,Bought 1 units for price $3192.52
263,421798.2200000004,Bought 1 units for price $3191.45
264,418629.4200000004,Bought 1 units for price $3168.8
265,415460.8500000004,Bought 1 units for price $3168.57
266,412319.2200000004,Bought 1 units for price $3141.63
267,409186.70000000036,Bought 1 units for price $3132.52
268,406050.74000000034,Bought 1 units for price $3135.96
269,402904.83000000037,Bought 1 units for price $3145.91
270,399787.4000000004,Bought 1 units for price $3117.43
271,396674.64000000036,Bought 1 units for price $3112.76
272,393581.44000000035,Bought 1 units for price $3093.2
273,390467.57000000036,Bought 1 units for price $3113.87
274,387326.5900000004,Bought 1 units for price $3140.98
275,384172.96000000037,Bought 1 units for price $3153.63
276,381032.44000000035,Bought 1 units for price $3140.52
277,377898.80000000034,Bought 1 units for price $3133.64
278,374788.51000000036,Bought 1 units for price $3110.29
279,371684.9700000004,Bought 1 units for price $3103.54
280,368576.51000000036,Bought 1 units for price $3108.46
281,365456.33000000037,Bought 1 units for price $3120.18
282,362334.30000000034,Bought 1 units for price $3122.03
283,359213.8400000003,Bought 1 units for price $3120.46
284,356117.2100000003,Bought 1 units for price $3096.63
285,353023.17000000033,Bought 1 units for price $3094.04
286,349931.3300000003,Bought 1 units for price $3091.84
287,346844.3200000003,Bought 1 units for price $3087.01
288,343751.2400000003,Bought 1 units for price $3093.08
289,340666.0600000003,Bought 1 units for price $3085.18
290,337589.28000000026,Bought 1 units for price $3076.78
291,334514.66000000027,Bought 1 units for price $3074.62
292,331436.39000000025,Bought 1 units for price $3078.27
293,328369.4800000003,Bought 1 units for price $3066.91
294,325331.9200000003,Bought 1 units for price $3037.56
295,322285.15000000026,Bought 1 units for price $3046.77
296,319248.26000000024,Bought 1 units for price $3036.89
297,316208.84000000026,Bought 1 units for price $3039.42
298,313186.29000000027,Bought 1 units for price $3022.55
299,310176.0000000003,Bought 1 units for price $3010.29
300,307171.4800000003,Bought 1 units for price $3004.52
301,304175.4900000003,Bought 1 units for price $2995.99
302,301168.7700000003,Bought 1 units for price $3006.72
303,298182.5700000003,Bought 1 units for price $2986.2
304,295184.6200000003,Bought 1 units for price $2997.95
305,292194.9300000003,Bought 1 units for price $2989.69
306,289199.2500000003,Bought 1 units for price $2995.68
307,286233.10000000027,Bought 1 units for price $2966.15
308,283262.83000000025,Bought 1 units for price $2970.27
309,280324.70000000024,Bought 1 units for price $2938.13
310,277405.3000000002,Bought 1 units for price $2919.4
311,274512.2400000002,Bought 1 units for price $2893.06
312,271573.45000000024,Bought 1 units for price $2938.79
313,268621.44000000024,Bought 1 units for price $2952.01
314,265710.81000000023,Bought 1 units for price $2910.63
315,262823.20000000024,Bought 1 units for price $2887.61
316,259882.95000000024,Bought 1 units for price $2940.25
317,256906.21000000025,Bought 1 units for price $2976.74
318,253944.42000000025,Bought 1 units for price $2961.79
319,250966.80000000025,Bought 1 units for price $2977.62
320,247981.93000000025,Bought 1 units for price $2984.87
321,245015.33000000025,Bought 1 units for price $2966.6
322,242023.55000000025,Bought 1 units for price $2991.78
323,239031.48000000024,Bought 1 units for price $2992.07
324,236024.69000000024,Bought 1 units for price $3006.79
325,233017.96000000022,Bought 1 units for price $3006.73
326,230012.2600000002,Bought 1 units for price $3005.7
327,227014.30000000022,Bought 1 units for price $2997.96
328,224006.9100000002,Bought 1 units for price $3007.39
329,220997.3400000002,Bought 1 units for price $3009.57
330,217996.4100000002,Bought 1 units for price $3000.93
331,215017.0200000002,Bought 1 units for price $2979.39
332,212038.5900000002,Bought 1 units for price $2978.43
333,209059.8800000002,Bought 1 units for price $2978.71
334,206083.8800000002,Bought 1 units for price $2976.0
335,203146.1000000002,Bought 1 units for price $2937.78
336,200239.83000000022,Bought 1 units for price $2906.27
337,197313.37000000023,Bought 1 units for price $2926.46
338,194388.79000000024,Bought 1 units for price $2924.58
339,191500.85000000024,Bought 1 units for price $2887.94
340,188631.69000000024,Bought 1 units for price $2869.16
341,185753.31000000023,Bought 1 units for price $2878.38
342,182906.20000000024,Bought 1 units for price $2847.11
343,179983.25000000023,Bought 1 units for price $2922.95
344,177058.82000000024,Bought 1 units for price $2924.43
345,174158.31000000023,Bought 1 units for price $2900.51
346,171234.66000000024,Bought 1 units for price $2923.65
347,168345.98000000024,Bought 1 units for price $2888.68
348,165498.38000000024,Bought 1 units for price $2847.6
349,162657.78000000023,Bought 1 units for price $2840.6
350,159731.46000000022,Bought 1 units for price $2926.32
351,156848.7600000002,Bought 1 units for price $2882.7
352,153930.11000000022,Bought 1 units for price $2918.65
353,150992.02000000022,Bought 1 units for price $2938.09
354,148108.0400000002,Bought 1 units for price $2883.98
355,145226.27000000022,Bought 1 units for price $2881.77
356,142381.53000000023,Bought 1 units for price $2844.74
357,139449.48000000024,Bought 1 units for price $2932.05
358,136495.92000000025,Bought 1 units for price $2953.56
359,133515.54000000024,Bought 1 units for price $2980.38
360,130502.36000000025,Bought 1 units for price $3013.18
361,127481.39000000025,Bought 1 units for price $3020.97
362,124455.53000000025,Bought 1 units for price $3025.86
363,121451.86000000025,Bought 1 units for price $3003.67
364,118432.30000000025,Bought 1 units for price $3019.56
365,115426.83000000025,Bought 1 units for price $3005.47
366,112441.80000000025,Bought 1 units for price $2985.03
367,109465.19000000025,Bought 1 units for price $2976.61
368,106470.08000000025,Bought 1 units for price $2995.11
