DAY,TOTAL BALANCE,STATUS
407,91856.90339534538,Bought 1 units for price $2856.3014369961493
408,94721.27270862057,Sold 1 units for price $2864.3693132751964 and investment $0.28245885306600493
409,91881.02129241943,Bought 1 units for price $2840.2514162011294
410,89021.48360978559,Bought 1 units for price $2859.5376826338456
411,86145.16216638027,Bought 1 units for price $2876.3214434053284
412,83294.2326910169,Bought 1 units for price $2850.9294753633617
413,80459.83340055568,Bought 1 units for price $2834.399290461225
414,77647.99044393744,Bought 1 units for price $2811.842956618248
415,74766.57516664162,Bought 1 units for price $2881.4152772958228
416,71895.87286100011,Bought 1 units for price $2870.702305641505
417,69016.44969627826,Bought 1 units for price $2879.423164721853
418,66132.42746669202,Bought 1 units for price $2884.0222295862386
419,63199.92659635461,Bought 1 units for price $2932.500870337413
420,60254.29415868873,Bought 1 units for price $2945.632437665885
421,57336.80404229716,Bought 1 units for price $2917.4901163915706
422,54413.08397237965,Bought 1 units for price $2923.7200699175105
423,51467.268273840855,Bought 1 units for price $2945.8156985388
424,48524.27955080274,Bought 1 units for price $2942.9887230381123
425,45584.40559458286,Bought 1 units for price $2939.8739562198853
426,42658.23561272224,Bought 1 units for price $2926.1699818606185
427,39730.97718869217,Bought 1 units for price $2927.2584240300666
428,36797.29994598544,Bought 1 units for price $2933.6772427067363
429,33889.30991165729,Bought 1 units for price $2907.990034328151
430,30984.246736586036,Bought 1 units for price $2905.063175071257
431,28083.762934277278,Bought 1 units for price $2900.4838023087586
432,25176.74692349717,Bought 1 units for price $2907.016010780108
433,22271.16191194847,Bought 1 units for price $2905.5850115486987
434,19363.765382366637,Bought 1 units for price $2907.396529581833
435,16475.412492385927,Bought 1 units for price $2888.3528899807106
436,13587.178563076734,Bought 1 units for price $2888.2339293091936
437,10708.93085140362,Bought 1 units for price $2878.247711673113
438,7813.134869611417,Bought 1 units for price $2895.795981792203
439,4920.38167066026,Bought 1 units for price $2892.753198951157
440,2041.0317089427285,Bought 1.0 units for price $2879.3499617175316
441,2041.0317089427285,Insuffucuent amount to buy unit price $2873.4320188877064
442,2041.0317089427285,Insuffucuent amount to buy unit price $2867.2488831422584
443,2041.0317089427285,Insuffucuent amount to buy unit price $2867.1785343026313
444,2041.0317089427285,Insuffucuent amount to buy unit price $2834.381267003243
445,2041.0317089427285,Insuffucuent amount to buy unit price $2815.4810618916576
446,2041.0317089427285,Insuffucuent amount to buy unit price $2805.3955410853096
447,2041.0317089427285,Insuffucuent amount to buy unit price $2818.476770157097
448,2041.0317089427285,Insuffucuent amount to buy unit price $2798.363276683473
449,2041.0317089427285,Insuffucuent amount to buy unit price $2800.758551484073
450,2041.0317089427285,Insuffucuent amount to buy unit price $2854.849572782587
451,2041.0317089427285,Insuffucuent amount to buy unit price $2824.2448614515474
452,2041.0317089427285,Insuffucuent amount to buy unit price $2832.5073946103657
453,2041.0317089427285,Insuffucuent amount to buy unit price $2832.9584477959706
454,2041.0317089427285,Insuffucuent amount to buy unit price $2822.5134472089394
